Variables,R-squared,Adj. R-squared,P-value,AIC,BIC
HPIPONM226S,0.7289293212934811,0.7283160392149596,2.2830720772343754e-127,4460.871028676061,4469.0626778009255
PI,0.7028219705274489,0.7021496220444794,1.555386790049724e-118,4501.697623942983,4509.889273067848
TTLCONS,0.6697958858816251,0.6690488177501355,2.0723315087272568e-108,4548.486168931631,4556.677818056496
CPIAUCSL,0.6586601486220915,0.6578878865149017,3.1876678059884518e-105,4563.212592966496,4571.404242091361
PCESV,0.6451893022223074,0.6443865630870638,1.6706111836495e-101,4580.397963269172,4588.5896123940365
RSAFS,0.6421337636881201,0.6413241115697674,1.1140572488575116e-100,4584.20520707637,4592.396856201235
PPIACO,0.6394651229490527,0.6386494331819691,5.766001323514685e-100,4587.503871057177,4595.695520182042
NASDAQCOM,0.6295752330116392,0.6287371679279552,2.2992672725162925e-97,4599.519251508606,4607.710900633471
REVOLSL,0.6086905636552697,0.6078052481884264,4.2968417580020675e-92,4623.871887047516,4632.063536172381
SP500,0.56173241202225,0.560740856393341,3.371753788959199e-81,4674.190855928453,4682.382505053318
"HPIPONM226S, PI",0.7466414219155713,0.7454924034208572,3.3396631560253536e-132,4432.868259731225,4445.155733418522
"HPIPONM226S, TTLCONS",0.7300800645621068,0.7288559378707785,3.8664195782212214e-126,4460.982157525645,4473.269631212941
"HPIPONM226S, CPIAUCSL",0.7326249127922431,0.7314123273627294,4.788142867055676e-127,4456.776196122726,4469.0636698100225
"HPIPONM226S, PCESV",0.7376140884278757,0.7364241296452356,7.522860545597513e-129,4448.412955028007,4460.700428715303
"HPIPONM226S, RSAFS",0.7303546111076162,0.7291317295253379,3.089271327994117e-126,4460.5303172341,4472.817790921396
"HPIPONM226S, PPIACO",0.7406045032856682,0.7394281064751723,6.00781140949621e-130,4443.323625614594,4455.61109930189
"HPIPONM226S, NASDAQCOM",0.7495963138587235,0.7484606962345,2.513496372916846e-133,4427.659504877072,4439.946978564369
"HPIPONM226S, REVOLSL",0.7294210505341376,0.7281939351170589,6.619548749996753e-126,4462.064869744252,4474.352343431548
"HPIPONM226S, SP500",0.7621275041262559,0.7610487172968965,3.047211424466276e-138,4404.864739510695,4417.152213197991
"PI, TTLCONS",0.7161861284362396,0.7148989906967214,2.4769245370563246e-121,4483.267965799952,4495.555439487249
"PI, CPIAUCSL",0.7059769641103728,0.7046435263058847,5.999144623523811e-118,4498.958693209833,4511.246166897129
"PI, PCESV",0.7064560549425287,0.7051247898855787,4.187206838348991e-118,4498.234634903236,4510.522108590532
"PI, RSAFS",0.7029296490145953,0.7015823911869971,5.827438641899066e-117,4503.536717324174,4515.82419101147
"PI, PPIACO",0.7028813298303437,0.701533852868123,6.040214259620547e-117,4503.608929085385,4515.8964027726815
"PI, NASDAQCOM",0.7177015068454886,0.7164212415704114,7.607421457975714e-122,4480.8909478697315,4493.178421557028
"PI, REVOLSL",0.7081846396742388,0.7068612140038272,1.138535753394384e-118,4495.612334908082,4507.899808595378
"PI, SP500",0.7120310656096779,0.710725084047817,6.1053908292874134e-120,4489.721046761995,4502.008520449292
"TTLCONS, CPIAUCSL",0.6909552954737591,0.6895537321879258,3.545667884333731e-113,4521.082246906108,4533.369720593404
"TTLCONS, PCESV",0.70831685180065,0.7069940257317187,1.030267971539357e-118,4495.411127246798,4507.698600934094
"TTLCONS, RSAFS",0.6713127608211266,0.6698221157454853,2.8223898355263976e-107,4548.441845054567,4560.729318741864
"TTLCONS, PPIACO",0.706886602245766,0.7055572897842957,3.0294597982602357e-118,4497.582932374322,4509.870406061618
"TTLCONS, NASDAQCOM",0.7224897616885455,0.7212312118549334,1.7499344799311683e-123,4473.295364310705,4485.582837998001
"TTLCONS, REVOLSL",0.6749120437580282,0.6734377219610124,2.4899698081328053e-108,4543.553015435396,4555.840489122693
"TTLCONS, SP500",0.7209925828450686,0.7197272430847288,5.73155676994685e-123,4475.684323595959,4487.971797283255
"CPIAUCSL, PCESV",0.6771615086279487,0.6756973884856717,5.385929618265527e-109,4540.470053106091,4552.757526793387
"CPIAUCSL, RSAFS",0.6632399049859794,0.6617126483192491,5.945624194818495e-105,4559.215120899076,4571.502594586373
"CPIAUCSL, PPIACO",0.6607961087387968,0.6592577690958887,2.9282764405344634e-104,4562.425499804101,4574.712973491397
"CPIAUCSL, NASDAQCOM",0.7139851830465036,0.7126880636952406,1.3604148553068136e-120,4486.697854931134,4498.985328618431
"CPIAUCSL, REVOLSL",0.6654456896533737,0.6639284365452257,1.3960206247202814e-105,4556.297346726384,4568.58482041368
"CPIAUCSL, SP500",0.7094995608417952,0.7081820985326877,4.2059868879282377e-119,4493.607148061985,4505.894621749281
"PCESV, RSAFS",0.6764418303768249,0.6749744463876042,8.800301895562798e-109,4541.458725526022,4553.7461992133185
"PCESV, PPIACO",0.6765248281092068,0.6750578205269355,8.316296902319924e-109,4541.344817969748,4553.632291657044
"PCESV, NASDAQCOM",0.6937927830179238,0.692404088156327,4.638746370268239e-114,4516.986840267414,4529.27431395471
"PCESV, REVOLSL",0.6633469960082046,0.6618202250150444,5.5429370235331784e-105,4559.073904714422,4571.361378401718
"PCESV, SP500",0.7005213711895688,0.6991631914670725,3.456740985901254e-116,4507.121607079823,4519.409080767119
"RSAFS, PPIACO",0.6680579782222222,0.6665525722277652,2.478693246944059e-106,4552.816871267052,4565.104344954349
"RSAFS, NASDAQCOM",0.6995785896557962,0.6982161342800854,6.912882475121686e-116,4508.517157399182,4520.804631086478
"RSAFS, REVOLSL",0.654155618285676,0.6525871630398061,2.1047467189207156e-102,4571.033565042939,4583.321038730235
"RSAFS, SP500",0.6943662643449933,0.6929801703057414,3.0682050309451665e-114,4516.15451355673,4528.441987244027
"PPIACO, NASDAQCOM",0.7126069901215523,0.7113036204622396,3.926469917938014e-120,4488.832178211605,4501.119651898902
"PPIACO, REVOLSL",0.6707265499871161,0.6692332463589398,4.180762087336902e-107,4549.23300988689,4561.520483574186
"PPIACO, SP500",0.7057671601849036,0.7044327708886899,7.020970123582085e-118,4499.275402147918,4511.562875835214
"NASDAQCOM, REVOLSL",0.7296442713086712,0.7284181682307059,5.518164112934969e-126,4461.6984298263815,4473.985903513678
"NASDAQCOM, SP500",0.6347586845279283,0.6331022613285084,3.538894148794265e-97,4595.262362372252,4607.549836059548
"REVOLSL, SP500",0.744650959627329,0.7434929140927591,1.8754164927644227e-131,4436.342828359904,4448.6303020472005
"HPIPONM226S, PI, TTLCONS",0.7471620473739634,0.7454381522424223,6.119886410074198e-131,4433.9549473278,4450.338245577529
"HPIPONM226S, PI, CPIAUCSL",0.7595831588229978,0.7579439530877,9.49027834032004e-136,4411.588658208708,4427.971956458437
"HPIPONM226S, PI, PCESV",0.7467900591153879,0.7450636277002656,8.454793343439994e-131,4434.607703000433,4450.991001250161
"HPIPONM226S, PI, RSAFS",0.7788441657637832,0.777336285075809,1.0093871205813133e-143,4374.511696861557,4390.894995111285
"HPIPONM226S, PI, PPIACO",0.7467221959465362,0.7449953018279898,8.967823459732762e-131,4434.726684150328,4451.109982400057
"HPIPONM226S, PI, NASDAQCOM",0.754696359692124,0.753023834871843,7.915697748043558e-134,4420.5230643534205,4436.906362603149
"HPIPONM226S, PI, REVOLSL",0.7502434875578674,0.7485406022457619,4.1307993240786745e-132,4428.510491886444,4444.893790136172
"HPIPONM226S, PI, SP500",0.7631744048590453,0.7615596848921752,3.469942345010712e-137,4404.906338212002,4421.289636461731
"HPIPONM226S, TTLCONS, CPIAUCSL",0.7327304654267065,0.7309081731455249,1.219315960347162e-125,4458.600882022849,4474.984180272578
"HPIPONM226S, TTLCONS, PCESV",0.7382002452896264,0.7364152469620556,1.2944117940628304e-127,4449.419971923608,4465.803270173336
"HPIPONM226S, TTLCONS, RSAFS",0.7367246758782285,0.7349296168501256,4.452902764826497e-127,4451.915441884832,4468.298740134561
"HPIPONM226S, TTLCONS, PPIACO",0.7408434077480761,0.739076430982722,1.390943237994135e-128,4444.914511116471,4461.2978093661995
"HPIPONM226S, TTLCONS, NASDAQCOM",0.7502592889747253,0.7485565113995529,4.073742675471344e-132,4428.482400322537,4444.8656985722655
"HPIPONM226S, TTLCONS, REVOLSL",0.7314510419313456,0.7296200263081503,3.4835517070396803e-125,4460.721245986993,4477.104544236722
"HPIPONM226S, TTLCONS, SP500",0.7621772549545371,0.7605557362383181,8.73946984220447e-137,4406.771867579519,4423.155165829247
"HPIPONM226S, CPIAUCSL, PCESV",0.7376564463210229,0.7358677402732117,2.0425327330087128e-127,4450.341272738966,4466.724570988695
"HPIPONM226S, CPIAUCSL, RSAFS",0.7476253200237792,0.7459045835693959,4.0893165924140174e-131,4433.140663990855,4449.523962240583
"HPIPONM226S, CPIAUCSL, PPIACO",0.7459174154386353,0.7441850341802624,1.8012039859655778e-130,4436.135240487042,4452.518538736771
"HPIPONM226S, CPIAUCSL, NASDAQCOM",0.7510830356111193,0.749385874490286,1.970443201289386e-132,4427.015486817418,4443.3987850671465
"HPIPONM226S, CPIAUCSL, REVOLSL",0.7359326058783089,0.7341321463729338,8.618432001255154e-127,4453.24922097104,4469.632519220769
"HPIPONM226S, CPIAUCSL, SP500",0.762541268413431,0.7609222316071589,6.240716948234754e-137,4406.091756885974,4422.475055135703
"HPIPONM226S, PCESV, RSAFS",0.7441598942662092,0.7424155299089333,8.197355915984915e-130,4439.1958710704785,4455.579169320207
"HPIPONM226S, PCESV, PPIACO",0.7423025313309026,0.7405455031354315,4.020409533777461e-129,4442.407603883459,4458.790902133188
"HPIPONM226S, PCESV, NASDAQCOM",0.7514460339552568,0.7497513478231335,1.4296591421053313e-132,4426.36752415853,4442.7508224082585
"HPIPONM226S, PCESV, REVOLSL",0.7422798279571542,0.740522644965953,4.0990281605251406e-129,4442.446718951143,4458.830017200872
"HPIPONM226S, PCESV, SP500",0.7643213255836976,0.7627144255308591,1.1934639314164144e-137,4402.750870697,4419.134168946729
"HPIPONM226S, RSAFS, PPIACO",0.7554852408884287,0.7538180948035771,3.899002436155664e-134,4419.092887151322,4435.476185401051
"HPIPONM226S, RSAFS, NASDAQCOM",0.7527648759084999,0.7510791818806033,4.439100437875562e-133,4424.005361617796,4440.388659867524
"HPIPONM226S, RSAFS, REVOLSL",0.7304492353647911,0.7286113892422783,7.89746479208426e-125,4462.374480919831,4478.757779169559
"HPIPONM226S, RSAFS, SP500",0.7687794236506372,0.7672029197209824,1.792367728988964e-139,4394.271715094481,4410.65501334421
"HPIPONM226S, PPIACO, NASDAQCOM",0.7565374687082635,0.7548774969040017,1.510796298861503e-134,4417.178085437041,4433.56138368677
"HPIPONM226S, PPIACO, REVOLSL",0.7439015569400542,0.7421554311919183,1.0233579360053577e-129,4439.643978691282,4456.027276941011
"HPIPONM226S, PPIACO, SP500",0.7672003264136542,0.7656130559119292,8.003474009447762e-139,4397.293660278454,4413.676958528183
"HPIPONM226S, NASDAQCOM, REVOLSL",0.7506233635685811,0.7489230683201851,2.9560413438114324e-132,4427.83466027036,4444.217958520088
"HPIPONM226S, NASDAQCOM, SP500",0.7621279169646606,0.760506061853056,9.147248801221164e-137,4406.863968928075,4423.247267177804
"HPIPONM226S, REVOLSL, SP500",0.7650927176428629,0.763491077081337,5.804832252828735e-138,4401.295245529664,4417.678543779392
"PI, TTLCONS, CPIAUCSL",0.72360561679757,0.7217211096393716,1.9541515823789364e-122,4473.506463047267,4489.889761296996
"PI, TTLCONS, PCESV",0.7200303569361631,0.7181214730061825,3.2951114107605564e-121,4479.212932749902,4495.596230999631
"PI, TTLCONS, RSAFS",0.7376967759989276,0.735908344926193,1.9746573204468926e-127,4450.27301204325,4466.656310292979
"PI, TTLCONS, PPIACO",0.71712275701619,0.7151940485413004,3.192652875447236e-120,4483.800275703878,4500.183573953606
"PI, TTLCONS, NASDAQCOM",0.7322002433887977,0.7303743359573578,1.885031314390227e-125,4459.480837818361,4475.8641360680895
"PI, TTLCONS, REVOLSL",0.7163150640893579,0.7143808486172398,5.974845049409089e-120,4485.066212315309,4501.449510565038
"PI, TTLCONS, SP500",0.7306549709216188,0.7288185275415389,6.677220822216012e-125,4462.035466985281,4478.41876523501
"PI, CPIAUCSL, PCESV",0.7110578369006725,0.7090877766977225,3.3818868902931265e-118,4493.219072917462,4509.6023711671905
