Variables,R-squared,Adj. R-squared,P-value,AIC,BIC,Coefficients
PI,0.7028219705274488,0.7021496220444792,1.5553867900498125e-118,4501.697623942983,4509.889273067848,"const: 9.4623, PI: 0.0111"
TTLCONS,0.669795885881625,0.6690488177501355,2.0723315087274924e-108,4548.486168931631,4556.677818056496,"const: 36.6582, TTLCONS: 0.0001"
CPIAUCSL,0.6586601486220913,0.6578878865149015,3.187667805988905e-105,4563.212592966496,4571.404242091361,"const: -85.1950, CPIAUCSL: 1.1196"
PCESV,0.6451893022223074,0.6443865630870638,1.6706111836495e-101,4580.397963269172,4588.5896123940365,"const: 20.2186, PCESV: 0.0197"
RSAFS,0.6421337636881204,0.6413241115697677,1.1140572488573849e-100,4584.20520707637,4592.396856201235,"const: 33.9673, RSAFS: 0.0003"
PPIACO,0.6394651229490527,0.6386494331819691,5.766001323514357e-100,4587.503871057177,4595.695520182042,"const: -73.3949, PPIACO: 1.2887"
NASDAQCOM,0.6295752330116392,0.6287371679279552,2.2992672725162925e-97,4599.519251508606,4607.710900633471,"const: 79.9456, NASDAQCOM: 0.0157"
REVOLSL,0.6086905636552697,0.6078052481884264,4.2968417580020675e-92,4623.871887047516,4632.063536172381,"const: 8.8849, REVOLSL: 0.1773"
SP500,0.5617324120222498,0.5607408563933408,3.3717537889594863e-81,4674.190855928453,4682.382505053318,"const: 103.5636, SP500: 0.0375"
DJIA,0.5587943198276586,0.557796116931341,1.480029482967756e-80,4677.157444759975,4685.34909388484,"const: 103.2253, DJIA: 0.0045"
"PI, TTLCONS",0.7161861284362396,0.7148989906967214,2.4769245370563246e-121,4483.267965799952,4495.555439487249,"const: 14.9473, PI: 0.0074, TTLCONS: 0.0000"
"PI, CPIAUCSL",0.7059769641103726,0.7046435263058844,5.999144623524152e-118,4498.958693209833,4511.246166897129,"const: 45.5105, PI: 0.0149, CPIAUCSL: -0.4000"
"PI, PCESV",0.7064560549425287,0.7051247898855787,4.187206838349229e-118,4498.234634903236,4510.522108590532,"const: 8.9350, PI: 0.0090, PCESV: 0.0041"
"PI, RSAFS",0.7029296490145953,0.7015823911869971,5.827438641899066e-117,4503.536717324174,4515.82419101147,"const: 8.8117, PI: 0.0116, RSAFS: -0.0000"
"PI, PPIACO",0.7028813298303438,0.7015338528681231,6.0402142596198605e-117,4503.608929085385,4515.8964027726815,"const: 6.5200, PI: 0.0108, PPIACO: 0.0402"
"PI, NASDAQCOM",0.7177015068454888,0.7164212415704116,7.607421457974849e-122,4480.8909478697315,4493.178421557028,"const: 25.1908, PI: 0.0082, NASDAQCOM: 0.0050"
"PI, REVOLSL",0.7081846396742386,0.706861214003827,1.1385357533945133e-118,4495.612334908082,4507.899808595378,"const: 4.9510, PI: 0.0092, REVOLSL: 0.0367"
"PI, SP500",0.7120310656096779,0.710725084047817,6.1053908292874134e-120,4489.721046761995,4502.008520449292,"const: 23.7119, PI: 0.0092, SP500: 0.0086"
"PI, DJIA",0.7108535971921395,0.7095422756374552,1.5013208573578653e-119,4491.532804894567,4503.820278581863,"const: 22.8134, PI: 0.0093, DJIA: 0.0010"
"TTLCONS, CPIAUCSL",0.690955295473759,0.6895537321879257,3.5456678843343354e-113,4521.082246906108,4533.369720593404,"const: -24.0839, TTLCONS: 0.0001, CPIAUCSL: 0.5230"
"TTLCONS, PCESV",0.70831685180065,0.7069940257317187,1.030267971539357e-118,4495.411127246798,4507.698600934094,"const: 21.5371, TTLCONS: 0.0001, PCESV: 0.0094"
"TTLCONS, RSAFS",0.6713127608211267,0.6698221157454856,2.822389835526077e-107,4548.441845054567,4560.729318741864,"const: 35.1591, TTLCONS: 0.0001, RSAFS: 0.0001"
"TTLCONS, PPIACO",0.7068866022457659,0.7055572897842954,3.02945979826058e-118,4497.582932374322,4509.870406061618,"const: -21.8859, TTLCONS: 0.0001, PPIACO: 0.5986"
"TTLCONS, NASDAQCOM",0.7224897616885455,0.7212312118549334,1.749934479931069e-123,4473.295364310705,4485.582837998001,"const: 47.1517, TTLCONS: 0.0001, NASDAQCOM: 0.0076"
"TTLCONS, REVOLSL",0.6749120437580285,0.6734377219610127,2.4899698081321684e-108,4543.553015435396,4555.840489122693,"const: 27.4067, TTLCONS: 0.0001, REVOLSL: 0.0412"
"TTLCONS, SP500",0.7209925828450685,0.7197272430847287,5.731556769947176e-123,4475.684323595959,4487.971797283255,"const: 51.7037, TTLCONS: 0.0001, SP500: 0.0165"
"TTLCONS, DJIA",0.7202711030862836,0.7190024913088972,1.0129356776183028e-122,4476.83097249948,4489.118446186776,"const: 51.3244, TTLCONS: 0.0001, DJIA: 0.0020"
"CPIAUCSL, PCESV",0.6771615086279487,0.6756973884856717,5.385929618265527e-109,4540.470053106091,4552.757526793387,"const: -45.8464, CPIAUCSL: 0.6567, PCESV: 0.0089"
"CPIAUCSL, RSAFS",0.663239904985979,0.6617126483192487,5.945624194820016e-105,4559.215120899076,4571.502594586373,"const: -49.7313, CPIAUCSL: 0.7722, RSAFS: 0.0001"
"CPIAUCSL, PPIACO",0.6607961087387968,0.6592577690958887,2.928276440534796e-104,4562.425499804101,4574.712973491397,"const: -84.5747, CPIAUCSL: 0.8563, PPIACO: 0.3165"
"CPIAUCSL, NASDAQCOM",0.7139851830465035,0.7126880636952404,1.3604148553069682e-120,4486.697854931134,4498.985328618431,"const: -25.6943, CPIAUCSL: 0.6775, NASDAQCOM: 0.0079"
"CPIAUCSL, REVOLSL",0.6654456896533736,0.6639284365452256,1.3960206247204004e-105,4556.297346726384,4568.58482041368,"const: -66.3243, CPIAUCSL: 0.8490, REVOLSL: 0.0484"
"CPIAUCSL, SP500",0.7094995608417953,0.7081820985326879,4.2059868879282377e-119,4493.607148061985,4505.894621749281,"const: -32.6355, CPIAUCSL: 0.7823, SP500: 0.0167"
"CPIAUCSL, DJIA",0.7068948674897635,0.7055655925123927,3.010681750146445e-118,4497.57041223671,4509.857885924006,"const: -33.5836, CPIAUCSL: 0.7876, DJIA: 0.0020"
"PCESV, RSAFS",0.6764418303768247,0.674974446387604,8.800301895563548e-109,4541.458725526022,4553.7461992133185,"const: 21.5034, PCESV: 0.0106, RSAFS: 0.0002"
"PCESV, PPIACO",0.676524828109207,0.6750578205269357,8.316296902318506e-109,4541.344817969748,4553.632291657044,"const: -33.1421, PCESV: 0.0108, PPIACO: 0.6516"
"PCESV, NASDAQCOM",0.693792783017924,0.6924040881563273,4.638746370268239e-114,4516.986840267414,4529.27431395471,"const: 40.6809, PCESV: 0.0114, NASDAQCOM: 0.0080"
"PCESV, REVOLSL",0.6633469960082046,0.6618202250150444,5.542937023533336e-105,4559.073904714422,4571.361378401718,"const: 10.0746, PCESV: 0.0130, REVOLSL: 0.0694"
"PCESV, SP500",0.7005213711895688,0.6991631914670725,3.4567409859012546e-116,4507.121607079823,4519.409080767119,"const: 42.2148, PCESV: 0.0134, SP500: 0.0174"
"PCESV, DJIA",0.6953621009695561,0.6939805231961753,1.494021707512518e-114,4514.705480606082,4526.992954293379,"const: 41.8093, PCESV: 0.0136, DJIA: 0.0020"
"RSAFS, PPIACO",0.6680579782222221,0.666552572227765,2.478693246944059e-106,4552.816871267052,4565.104344954349,"const: -24.9250, RSAFS: 0.0002, PPIACO: 0.6560"
"RSAFS, NASDAQCOM",0.6995785896557963,0.6982161342800857,6.912882475120901e-116,4508.517157399182,4520.804631086478,"const: 48.1659, RSAFS: 0.0002, NASDAQCOM: 0.0083"
"RSAFS, REVOLSL",0.6541556182856759,0.6525871630398059,2.1047467189209547e-102,4571.033565042939,4583.321038730235,"const: 21.2401, RSAFS: 0.0002, REVOLSL: 0.0636"
"RSAFS, SP500",0.6943662643449933,0.6929801703057414,3.0682050309451665e-114,4516.15451355673,4528.441987244027,"const: 51.9469, RSAFS: 0.0002, SP500: 0.0172"
"RSAFS, DJIA",0.6929655578721965,0.6915731114226373,8.409199548848383e-114,4518.184698182067,4530.472171869364,"const: 51.5278, RSAFS: 0.0002, DJIA: 0.0020"
"PPIACO, NASDAQCOM",0.712606990121552,0.7113036204622394,3.926469917938684e-120,4488.832178211605,4501.119651898902,"const: -15.1522, PPIACO: 0.7436, NASDAQCOM: 0.0086"
"PPIACO, REVOLSL",0.670726549987116,0.6692332463589397,4.180762087336902e-107,4549.23300988689,4561.520483574186,"const: -50.9225, PPIACO: 0.7986, REVOLSL: 0.0800"
"PPIACO, SP500",0.7057671601849035,0.7044327708886899,7.020970123582882e-118,4499.275402147918,4511.562875835214,"const: -20.7584, PPIACO: 0.8695, SP500: 0.0183"
"PPIACO, DJIA",0.704937462055117,0.7035993099555937,1.3063310040906285e-117,4500.525662126014,4512.8131358133105,"const: -21.5489, PPIACO: 0.8739, DJIA: 0.0022"
"NASDAQCOM, REVOLSL",0.729644271308671,0.7284181682307058,5.5181641129355965e-126,4461.6984298263815,4473.985903513678,"const: 30.1545, NASDAQCOM: 0.0096, REVOLSL: 0.1004"
"NASDAQCOM, SP500",0.6347586845279283,0.6331022613285084,3.538894148794265e-97,4595.262362372252,4607.549836059548,"const: 83.5489, NASDAQCOM: 0.0127, SP500: 0.0085"
"NASDAQCOM, DJIA",0.6356001065366904,0.6339474993100994,2.128149891245148e-97,4594.238320602339,4606.525794289635,"const: 83.5198, NASDAQCOM: 0.0126, DJIA: 0.0011"
"REVOLSL, SP500",0.744650959627329,0.7434929140927591,1.8754164927644227e-131,4436.342828359904,4448.6303020472005,"const: 32.0474, REVOLSL: 0.1187, SP500: 0.0225"
"REVOLSL, DJIA",0.739181721636416,0.7379988723014338,2.0069393970808436e-129,4445.7523065056275,4458.039780192924,"const: 32.0515, REVOLSL: 0.1187, DJIA: 0.0027"
"SP500, DJIA",0.5617589938505918,0.5597715062943587,9.947619063300155e-80,4676.163925600864,4688.45139928816,"const: 103.6142, SP500: 0.0415, DJIA: -0.0005"
"PI, TTLCONS, CPIAUCSL",0.72360561679757,0.7217211096393716,1.954151582378936e-122,4473.506463047267,4489.889761296996,"const: 72.8616, PI: 0.0127, TTLCONS: 0.0000, CPIAUCSL: -0.6315"
"PI, TTLCONS, PCESV",0.720030356936163,0.7181214730061822,3.2951114107607434e-121,4479.212932749902,4495.596230999631,"const: 14.4484, PI: 0.0053, TTLCONS: 0.0000, PCESV: 0.0042"
"PI, TTLCONS, RSAFS",0.7376967759989275,0.735908344926193,1.974657320447117e-127,4450.27301204325,4466.656310292979,"const: 8.9338, PI: 0.0121, TTLCONS: 0.0001, RSAFS: -0.0003"
"PI, TTLCONS, PPIACO",0.71712275701619,0.7151940485413004,3.192652875447236e-120,4483.800275703878,4500.183573953606,"const: 3.3209, PI: 0.0060, TTLCONS: 0.0000, PPIACO: 0.1626"
"PI, TTLCONS, NASDAQCOM",0.7322002433887979,0.7303743359573578,1.885031314390227e-125,4459.480837818361,4475.8641360680895,"const: 31.5090, PI: 0.0042, TTLCONS: 0.0000, NASDAQCOM: 0.0052"
"PI, TTLCONS, REVOLSL",0.7163150640893577,0.7143808486172397,5.974845049409429e-120,4485.066212315309,4501.449510565038,"const: 13.7525, PI: 0.0073, TTLCONS: 0.0000, REVOLSL: 0.0068"
"PI, TTLCONS, SP500",0.7306549709216188,0.7288185275415389,6.677220822216012e-125,4462.035466985281,4478.41876523501,"const: 34.2558, PI: 0.0043, TTLCONS: 0.0001, SP500: 0.0110"
"PI, TTLCONS, DJIA",0.7297233794678857,0.7278805843278939,1.4263094236618755e-124,4463.568493010753,4479.9517912604815,"const: 33.8517, PI: 0.0043, TTLCONS: 0.0001, DJIA: 0.0013"
"PI, CPIAUCSL, PCESV",0.7110578369006726,0.7090877766977226,3.381886890292742e-118,4493.219072917462,4509.6023711671905,"const: 53.0549, PI: 0.0133, CPIAUCSL: -0.4907, PCESV: 0.0049"
"PI, CPIAUCSL, RSAFS",0.7062535292583296,0.7042507124123637,1.2684653258759617e-116,4500.540859574812,4516.924157824541,"const: 52.0447, PI: 0.0146, CPIAUCSL: -0.4595, RSAFS: 0.0000"
"PI, CPIAUCSL, PPIACO",0.7093594963530576,0.7073778565554648,1.2262838471191592e-117,4495.821170615287,4512.204468865016,"const: 48.2000, PI: 0.0151, CPIAUCSL: -0.7540, PPIACO: 0.3989"
"PI, CPIAUCSL, NASDAQCOM",0.7179884181581403,0.7160656119183094,1.627711769275925e-120,4482.439463342205,4498.822761591934,"const: 13.4451, PI: 0.0065, CPIAUCSL: 0.1473, NASDAQCOM: 0.0055"
"PI, CPIAUCSL, REVOLSL",0.7213161336472571,0.7194160163766703,1.1979797376495168e-121,4477.169140459562,4493.552438709291,"const: 88.0763, PI: 0.0164, CPIAUCSL: -0.9732, REVOLSL: 0.0739"
"PI, CPIAUCSL, SP500",0.7124747809575696,0.7105143817368257,1.14787273578695e-118,4491.036384190439,4507.419682440168,"const: 7.1800, PI: 0.0067, CPIAUCSL: 0.2210, SP500: 0.0107"
"PI, CPIAUCSL, DJIA",0.7110229958650758,0.7090526981096104,3.4727116985891246e-118,4493.272607808502,4509.65590605823,"const: 12.7071, PI: 0.0078, CPIAUCSL: 0.1349, DJIA: 0.0011"
"PI, PCESV, RSAFS",0.7067030248396264,0.7047032727362603,9.059406150481459e-117,4499.860923265185,4516.244221514914,"const: 7.9337, PI: 0.0097, PCESV: 0.0042, RSAFS: -0.0000"
"PI, PCESV, PPIACO",0.7064568668039484,0.7044554363503389,1.0893807052092838e-116,4500.233406920254,4516.616705169983,"const: 8.5895, PI: 0.0090, PCESV: 0.0041, PPIACO: 0.0047"
"PI, PCESV, NASDAQCOM",0.7197962561494368,0.7178857760777284,3.959658640332561e-121,4479.584034832884,4495.967333082613,"const: 24.0633, PI: 0.0067, PCESV: 0.0031, NASDAQCOM: 0.0048"
"PI, PCESV, REVOLSL",0.7093023818130025,0.7073203525980911,1.2804055572811453e-117,4495.908413666838,4512.291711916567,"const: 5.5459, PI: 0.0083, PCESV: 0.0025, REVOLSL: 0.0292"
"PI, PCESV, SP500",0.7185304151094969,0.7166113043034252,1.0664401848062474e-120,4481.585320436194,4497.968618685923,"const: 25.3812, PI: 0.0061, PCESV: 0.0056, SP500: 0.0101"
"PI, PCESV, DJIA",0.7165154622019231,0.7145826130805726,5.1152784895275454e-120,4484.752455070584,4501.135753320313,"const: 23.9241, PI: 0.0065, PCESV: 0.0051, DJIA: 0.0011"
"PI, RSAFS, PPIACO",0.7030010300939062,0.7009760371172737,1.4268736566446548e-115,4505.430018667124,4521.813316916853,"const: 5.5402, PI: 0.0112, RSAFS: -0.0000, PPIACO: 0.0442"
"PI, RSAFS, NASDAQCOM",0.7178010906500691,0.7158770071772287,1.8835024851337753e-120,4482.7342945016335,4499.117592751362,"const: 26.0416, PI: 0.0077, RSAFS: 0.0000, NASDAQCOM: 0.0051"
"PI, RSAFS, REVOLSL",0.7112499681803197,0.7092812179633674,2.9218909484045515e-118,4492.923738162868,4509.307036412597,"const: -1.0995, PI: 0.0112, RSAFS: -0.0001, REVOLSL: 0.0531"
"PI, RSAFS, SP500",0.7125224904979133,0.7105624165694899,1.1067587581296064e-118,4490.962704414989,4507.346002664718,"const: 26.3195, PI: 0.0080, RSAFS: 0.0000, SP500: 0.0093"
"PI, RSAFS, DJIA",0.7113148031855253,0.7093464950254267,2.7811726027328113e-118,4492.824032633989,4509.207330883718,"const: 25.4066, PI: 0.0081, RSAFS: 0.0000, DJIA: 0.0011"
"PI, PPIACO, NASDAQCOM",0.7206306164758018,0.7187258252245006,2.0557978438137878e-121,4478.259967463222,4494.643265712951,"const: 5.7328, PI: 0.0053, PPIACO: 0.3015, NASDAQCOM: 0.0059"
"PI, PPIACO, REVOLSL",0.7081862550782161,0.7061966159082949,2.9726741237755943e-117,4497.609877047911,4513.99317529764,"const: 5.4305, PI: 0.0092, PPIACO: -0.0067, REVOLSL: 0.0367"
"PI, PPIACO, SP500",0.7153952062679747,0.7134547190379836,1.2171814354715165e-119,4486.503567974141,4502.88686622387,"const: 3.2329, PI: 0.0060, PPIACO: 0.3400, SP500: 0.0113"
"PI, PPIACO, DJIA",0.7142174558924088,0.7122689385462206,3.0169422458023806e-119,4488.337135710384,4504.720433960113,"const: 2.2883, PI: 0.0060, PPIACO: 0.3450, DJIA: 0.0013"
"PI, NASDAQCOM, REVOLSL",0.7344332990602946,0.732622617008433,2.9918007021962967e-126,4455.7630093076195,4472.146307557348,"const: 23.4342, PI: 0.0032, NASDAQCOM: 0.0072, REVOLSL: 0.0700"
"PI, NASDAQCOM, SP500",0.718094445883653,0.7161723625601324,1.498582636232363e-120,4482.27250153991,4498.655799789639,"const: 26.8555, PI: 0.0081, NASDAQCOM: 0.0043, SP500: 0.0024"
"PI, NASDAQCOM, DJIA",0.7179436583835637,0.7160205469634515,1.6854945108691316e-120,4482.509927692781,4498.89322594251,"const: 26.5409, PI: 0.0081, NASDAQCOM: 0.0045, DJIA: 0.0002"
"PI, REVOLSL, SP500",0.7446549507503373,0.7429139617781805,5.3549678017406204e-130,4438.335888555228,4454.719186804957,"const: 32.3057, PI: -0.0001, REVOLSL: 0.1199, SP500: 0.0228"
"PI, REVOLSL, DJIA",0.7394142229984904,0.7376375017916619,4.659625877146741e-128,4447.356334857379,4463.739633107108,"const: 30.1046, PI: 0.0008, REVOLSL: 0.1097, DJIA: 0.0025"
"PI, SP500, DJIA",0.7143436068502329,0.7123959496242118,2.737916113210091e-119,4488.141100674857,4504.5243989245855,"const: 23.0909, PI: 0.0093, SP500: 0.0450, DJIA: -0.0044"
"TTLCONS, CPIAUCSL, PCESV",0.7085769419782625,0.7065899665826597,2.2144356039518455e-117,4497.0150414384625,4513.398339688191,"const: 13.4964, TTLCONS: 0.0001, CPIAUCSL: 0.0792, PCESV: 0.0087"
"TTLCONS, CPIAUCSL, RSAFS",0.7017236676986089,0.6996899654329176,3.664716647557637e-115,4507.335522799113,4523.718821048842,"const: -66.3869, TTLCONS: 0.0001, CPIAUCSL: 0.9387, RSAFS: -0.0002"
"TTLCONS, CPIAUCSL, PPIACO",0.7128753777826431,0.7109177099038884,8.448967985760825e-119,4490.4173462777,4506.800644527429,"const: 4.9769, TTLCONS: 0.0001, CPIAUCSL: -0.6946, PPIACO: 1.1488"
"TTLCONS, CPIAUCSL, NASDAQCOM",0.729414800178994,0.7275699010893053,1.832927609444077e-124,4464.075125995289,4480.458424245018,"const: 9.7466, TTLCONS: 0.0000, CPIAUCSL: 0.3123, NASDAQCOM: 0.0068"
"TTLCONS, CPIAUCSL, REVOLSL",0.6909563082784933,0.688849192198574,8.890863370539137e-112,4523.080791821997,4539.464090071726,"const: -23.9993, TTLCONS: 0.0001, CPIAUCSL: 0.5210, REVOLSL: 0.0007"
"TTLCONS, CPIAUCSL, SP500",0.7295444404206555,0.7277004252417054,1.6496665716409798e-124,4463.862349906245,4480.245648155974,"const: 10.2885, TTLCONS: 0.0001, CPIAUCSL: 0.3431, SP500: 0.0148"
"TTLCONS, CPIAUCSL, DJIA",0.7282244450404226,0.7263714298929709,4.810502979984119e-124,4466.0240816507,4482.407379900429,"const: 11.1093, TTLCONS: 0.0001, CPIAUCSL: 0.3325, DJIA: 0.0017"
"TTLCONS, PCESV, RSAFS",0.715582471829881,0.7136432614105392,1.0532321537641932e-119,4486.211326670812,4502.594624920541,"const: 21.0696, TTLCONS: 0.0001, PCESV: 0.0121, RSAFS: -0.0002"
"TTLCONS, PCESV, PPIACO",0.7164681749155779,0.7145350033809114,5.3062936371256666e-120,4484.826511329134,4501.209809578862,"const: -7.9570, TTLCONS: 0.0001, PCESV: 0.0060, PPIACO: 0.3579"
"TTLCONS, PCESV, NASDAQCOM",0.7317886352080114,0.7299599213571569,2.64202423743195e-125,4460.162741834506,4476.546040084235,"const: 36.1702, TTLCONS: 0.0001, PCESV: 0.0053, NASDAQCOM: 0.0058"
"TTLCONS, PCESV, REVOLSL",0.7099034849326878,0.707925554148138,8.123790894476708e-118,4494.989362095368,4511.372660345097,"const: 25.6916, TTLCONS: 0.0001, PCESV: 0.0106, REVOLSL: -0.0272"
"TTLCONS, PCESV, SP500",0.7382976219678585,0.7365132875721848,1.192768990257354e-127,4449.2547949627915,4465.63809321252,"const: 38.1111, TTLCONS: 0.0001, PCESV: 0.0066, SP500: 0.0133"
"TTLCONS, PCESV, DJIA",0.7361654135138611,0.7343665413332738,7.099454460763166e-127,4452.857608131219,4469.240906380948,"const: 37.9174, TTLCONS: 0.0001, PCESV: 0.0064, DJIA: 0.0016"
"TTLCONS, RSAFS, PPIACO",0.7241059720112688,0.7222248763658912,1.312159022820435e-122,4472.70196390819,4489.085262157919,"const: -53.2498, TTLCONS: 0.0001, RSAFS: -0.0003, PPIACO: 0.9910"
"TTLCONS, RSAFS, NASDAQCOM",0.7231956526565859,0.7213083502883353,2.7067522837039424e-122,4474.164541606991,4490.54783985672,"const: 48.5725, TTLCONS: 0.0001, RSAFS: -0.0000, NASDAQCOM: 0.0079"
"TTLCONS, RSAFS, REVOLSL",0.6752155086031213,0.6730010688890516,4.904118364939484e-107,4545.138354369201,4561.52165261893,"const: 27.4437, TTLCONS: 0.0001, RSAFS: 0.0000, REVOLSL: 0.0379"
"TTLCONS, RSAFS, SP500",0.7213074452911523,0.7194072687817739,1.2062173421005285e-121,4477.182982559676,4493.566280809405,"const: 52.7109, TTLCONS: 0.0001, RSAFS: -0.0000, SP500: 0.0168"
"TTLCONS, RSAFS, DJIA",0.720646189449259,0.7187415043773221,2.030761580714272e-121,4478.235216744833,4494.618514994562,"const: 52.4315, TTLCONS: 0.0001, RSAFS: -0.0000, DJIA: 0.0020"
"TTLCONS, PPIACO, NASDAQCOM",0.7389201182620433,0.7371400281592845,7.066439724757589e-128,4448.19741981251,4464.580718062239,"const: 4.3056, TTLCONS: 0.0000, PPIACO: 0.4187, NASDAQCOM: 0.0062"
"TTLCONS, PPIACO, REVOLSL",0.7068950532493792,0.7048966104306249,7.844810370372152e-117,4499.570130845201,4515.95342909493,"const: -21.8474, TTLCONS: 0.0001, PPIACO: 0.6024, REVOLSL: -0.0018"
"TTLCONS, PPIACO, SP500",0.740550192110341,0.738781216147457,1.783464204390929e-128,4445.416578800137,4461.799877049866,"const: 5.3254, TTLCONS: 0.0001, PPIACO: 0.4493, SP500: 0.0138"
"TTLCONS, PPIACO, DJIA",0.7400166893718805,0.738244075890325,2.8013956240284457e-128,4446.32863192392,4462.711930173648,"const: 4.7970, TTLCONS: 0.0001, PPIACO: 0.4513, DJIA: 0.0016"
"TTLCONS, NASDAQCOM, REVOLSL",0.7348610652959879,0.7330532998320969,2.0991032206839768e-126,4455.047251881946,4471.430550131675,"const: 33.4194, TTLCONS: 0.0000, NASDAQCOM: 0.0082, REVOLSL: 0.0650"
"TTLCONS, NASDAQCOM, SP500",0.727889269942968,0.7260339695107609,6.307422477290443e-124,4466.571320168047,4482.954618417776,"const: 50.7908, TTLCONS: 0.0001, NASDAQCOM: 0.0045, SP500: 0.0087"
"TTLCONS, NASDAQCOM, DJIA",0.7280168648683245,0.7261624344015176,5.689544722394994e-124,4466.363076144281,4482.74637439401,"const: 50.6613, TTLCONS: 0.0001, NASDAQCOM: 0.0046, DJIA: 0.0010"
"TTLCONS, REVOLSL, SP500",0.7461812153374572,0.744450632714758,1.4334706873442331e-130,4435.674020365552,4452.057318615281,"const: 33.7027, TTLCONS: 0.0000, REVOLSL: 0.0973, SP500: 0.0207"
"TTLCONS, REVOLSL, DJIA",0.7421338075552315,0.7403756289703808,4.642558233256376e-129,4442.698211483345,4459.081509733074,"const: 34.3464, TTLCONS: 0.0000, REVOLSL: 0.0895, DJIA: 0.0024"
"TTLCONS, SP500, DJIA",0.7210281256531483,0.7191260446916925,1.5033282018097728e-121,4477.6277587483055,4494.011056998034,"const: 51.7607, TTLCONS: 0.0001, SP500: 0.0210, DJIA: -0.0005"
"CPIAUCSL, PCESV, RSAFS",0.680357869382462,0.6781784912191606,1.4700051665067752e-108,4538.0521894840185,4554.435487733747,"const: -17.4834, CPIAUCSL: 0.3815, PCESV: 0.0086, RSAFS: 0.0001"
"CPIAUCSL, PCESV, PPIACO",0.6795426077450516,0.6773576709796769,2.573008725506522e-108,4539.183189741967,4555.566487991696,"const: -44.9244, CPIAUCSL: 0.3754, PCESV: 0.0089, PPIACO: 0.3343"
"CPIAUCSL, PCESV, NASDAQCOM",0.71588531219249,0.7139481665938023,8.333503336146208e-120,4485.738315186372,4502.121613436101,"const: -16.8193, CPIAUCSL: 0.5516, PCESV: 0.0031, NASDAQCOM: 0.0072"
