Model Number,Variable,Coefficient,P-Value,Confidence Interval Low,Confidence Interval High
1,const,21.777900086814356,1.608541246112368e-39,18.74399760302208,24.81180257060663
1,Variable_1,0.011257717260768211,2.3304723664121375e-130,0.010546898533135172,0.01196853598840125
2,const,26.383500664168636,3.333641166156628e-24,21.483701102885703,31.28330022545157
2,Variable_2,0.08457457000697337,1.1311179236519017e-38,0.07263932509677593,0.09650981491717081
3,const,187.48757344125866,1.9614070945359225e-127,175.44018226141918,199.53496462109814
3,Variable_3,-0.6232026185240322,8.447503557118965e-84,-0.677313593868936,-0.5690916431791285
4,const,15.505940801796616,4.7459683499532983e-17,11.97835963906208,19.03352196453115
4,Variable_1,0.010156035308504296,6.695273435337001e-102,0.009386298440437476,0.010925772176571116
4,Variable_2,0.030109895894810428,4.2051268006147237e-10,0.020791006618509817,0.039428785171111036
5,const,12.634744052171397,6.186419563786868e-11,8.905108870934741,16.364379233408055
5,Variable_1,0.011532057391730277,1.0357885760993527e-84,0.010538559274970839,0.012525555508489715
5,Variable_2,0.046306716193291686,7.523969487301442e-14,0.034416178359032414,0.05819725402755096
5,Variable_1_x_Variable_2,-4.751789050029576e-06,2.774662990266261e-05,-6.962013499359403e-06,-2.5415646006997477e-06
6,const,104.09657803847828,2.839983831241167e-60,92.89593191520795,115.29722416174862
6,Variable_1,0.008562283606835116,1.256824659210897e-89,0.007852321878853794,0.009272245334816437
6,Variable_3,-0.34597433578328846,4.4680205616980856e-43,-0.3917428189630553,-0.3002058526035216
7,const,146.39262795073697,6.70694227451653e-78,133.05104452742268,159.73421137405126
7,Variable_1,-0.005770772452583433,0.00010092565532620185,-0.008666800983799558,-0.0028747439213673088
7,Variable_3,-0.5337605027822988,5.181403847642252e-62,-0.5901589146192772,-0.4773620909453204
7,Variable_1_x_Variable_3,7.398367024380131e-05,6.543387874600082e-22,5.942975195666825e-05,8.853758853093436e-05
8,const,152.09376887639394,2.93331237450867e-82,138.7249176494883,165.46262010329957
8,Variable_2,0.04986737841573309,1.0597778665538397e-20,0.039729113711074425,0.060005643120391756
8,Variable_3,-0.5307380819226002,7.594095967717077e-66,-0.5847231116584688,-0.4767530521867316
9,const,199.63205656137103,6.412607298161598e-65,179.144901780203,220.11921134253905
9,Variable_2,-0.07587661769066009,0.0005603988633170294,-0.11884594307840472,-0.03290729230291546
9,Variable_3,-0.7387304981851736,3.221606670616023e-52,-0.8256392695388941,-0.651821726831453
9,Variable_2_x_Variable_3,0.0005856324080657705,5.72810865305985e-09,0.00039087318225033627,0.0007803916338812048
10,const,95.46532128052861,6.222229930426163e-50,83.9208649536026,107.00977760745462
10,Variable_1,0.007955676495636518,1.2289109481178753e-75,0.007216339932263332,0.008695013059009703
10,Variable_2,0.020484723065984787,1.3947383916406735e-06,0.012227948116478102,0.028741498015491473
10,Variable_3,-0.32763201047794316,1.3648354907640337e-39,-0.3732159115992941,-0.2820481093565922
11,const,94.15541291815805,8.466189682573278e-51,82.890487882066,105.4203379542501
11,Variable_1,0.009548612180933853,2.363304110039808e-74,0.008651372950509294,0.010445851411358412
11,Variable_2,0.03966965424877162,1.412415264291732e-13,0.029364003680532717,0.04997530481701053
11,Variable_3,-0.3363866080684002,5.44697196792062e-43,-0.38092979051842685,-0.29184342561837356
11,Variable_1_x_Variable_2,-5.703889343600051e-06,7.59481662888731e-09,-7.616694328343797e-06,-3.7910843588563056e-06
12,const,137.6230724570917,5.611563244014488e-67,123.78209659119099,151.4640483229924
12,Variable_1,-0.005586066266178976,0.00013978693578933657,-0.008448816061155254,-0.002723316471202698
12,Variable_2,0.016166527033206455,5.060184657099028e-05,0.008386735251737798,0.023946318814675113
12,Variable_3,-0.5105926191692964,4.3883206226520735e-57,-0.5674204639073408,-0.45376477443125207
12,Variable_1_x_Variable_3,7.055915781635523e-05,2.218604420851065e-20,5.6085293476500225e-05,8.503302215621023e-05
13,const,142.67137722143573,6.580107950865254e-55,126.40297002837275,158.93978441449872
13,Variable_1,0.007947535729094329,1.1282195794112132e-80,0.0072401117418359785,0.008654959716352679
13,Variable_2,-0.10419714399251494,5.811339452842626e-10,-0.13671659865587976,-0.07167768932915011
13,Variable_3,-0.5341251290005447,8.097859920054497e-46,-0.6021823999255183,-0.46606785807557105
13,Variable_2_x_Variable_3,0.0005808257418085039,3.3292390775679356e-14,0.0004338736409376985,0.0007277778426793093
